City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,anahuac,27.2333,-100.15,21.68,47,43,3.28,MX,1705954683
157,sanya,18.2431,109.505,20.09,68,75,6.0,CN,1705954684
158,qaqortoq,60.7167,-46.0333,-9.57,86,99,3.95,GL,1705954684
159,nabire,-3.3667,135.4833,24.25,93,100,1.32,ID,1705954684
160,corbelia,-24.7989,-53.3067,23.64,78,100,0.14,BR,1705954528
161,antalaha,-14.9003,50.2788,25.36,90,100,1.21,MG,1705954685
162,dunedin,-45.8742,170.5036,11.56,93,100,5.81,NZ,1705954563
163,walvis bay,-22.9575,14.5053,20.61,82,100,2.42,NA,1705954685
164,leca da palmeira,41.191,-8.7003,14.55,99,100,4.63,PT,1705954686
165,rusk,31.796,-95.1502,10.35,100,100,3.09,US,1705954686
166,bel ombre,-4.6167,55.4167,26.91,83,20,2.57,SC,1705954686
167,nadym,65.5333,72.5167,-12.79,92,95,8.22,RU,1705954686
168,al jawf,29.5,38.75,17.09,27,7,3.62,SA,1705954687
169,kulhudhuffushi,6.6221,73.07,27.81,78,9,2.48,MV,1705954687
170,east ballina,-28.8667,153.5833,21.0,77,95,5.55,AU,1705954687
171,ancud,-41.8697,-73.8203,20.28,63,2,2.28,CL,1705954687
172,kodinsk,58.6881,99.1844,-19.76,98,90,1.74,RU,1705954687
173,iskateley,67.6803,53.1512,-17.04,95,88,4.78,RU,1705954688
174,san luis ixcan,15.7872,-91.095,29.08,57,49,2.12,GT,1705954688
175,simplicio mendes,-7.8539,-41.9103,31.26,51,99,1.86,BR,1705954688
176,mana,5.6592,-53.7767,28.01,62,70,4.72,GF,1705954688
177,gandorhun,7.5,-11.8333,26.64,80,9,3.04,SL,1705954689
178,hammerfest,70.6634,23.6821,-1.75,86,75,8.23,NO,1705954689
179,fale old settlement,-9.3852,-171.2468,29.42,70,84,2.39,TK,1705954689
180,markaz-e hukumat-e darweshan,31.1323,64.1934,10.09,27,0,1.27,AF,1705954689
181,petropavlovsk-kamchatsky,53.0452,158.6483,-9.01,77,75,3.0,RU,1705954689
182,stornoway,58.2093,-6.3865,6.98,70,40,12.35,GB,1705954690
183,hilo,19.7297,-155.09,26.45,65,75,1.79,US,1705954690
184,vyazemskiy,47.5378,134.7525,-20.88,98,100,0.8,RU,1705954690
185,ujae,8.9322,165.7642,27.33,78,19,9.36,MH,1705954691
186,kone,-21.0595,164.8658,26.67,85,100,1.4,NC,1705954691
187,pangody,65.85,74.4859,-12.97,92,100,8.81,RU,1705954691
188,dolinsk,47.35,142.8,-16.82,96,100,5.56,RU,1705954692
189,pindushi,62.9152,34.58,-4.14,95,100,6.92,RU,1705954692
190,las tablas,7.7667,-80.2833,30.82,65,19,6.83,PA,1705954692
191,nechi,8.0942,-74.7757,36.49,41,100,1.71,CO,1705954692
192,talcahuano,-36.7167,-73.1167,15.82,82,20,5.66,CL,1705954693
193,burang,30.25,81.1667,-10.77,51,29,1.55,CN,1705954693
194,dudinka,69.4058,86.1778,-10.18,95,100,4.02,RU,1705954693
195,karakol,42.4907,78.3936,-10.58,57,10,3.21,KG,1705954693
196,kidal,18.4411,1.4078,24.59,5,100,4.22,ML,1705954694
